dblp_index,acm_index
1551e423fac0354839b7e5a5da3f92a6,1551e423fac0354839b7e5a5da3f92a6
159c13d7584cbf522d432afb7d28a690,159c13d7584cbf522d432afb7d28a690
15a864eb9f5e8cac3461914dbfa8e74f,15a864eb9f5e8cac3461914dbfa8e74f
15ce7cb2a320c9e915234dfec74656f5,15ce7cb2a320c9e915234dfec74656f5
160bda2a44a0c15fa480a9eb706c88cb,160bda2a44a0c15fa480a9eb706c88cb
162151a909426603f298d717c8aca7c1,162151a909426603f298d717c8aca7c1
16b2420d68806e6b95d3be730b7db42b,16b2420d68806e6b95d3be730b7db42b
16fa1f5ff7696cb06769e30be217f3c5,16fa1f5ff7696cb06769e30be217f3c5
175dd34b88ec3764ea27071131f31b55,175dd34b88ec3764ea27071131f31b55
17789e5c6013bc6785b07f5f32f68921,17789e5c6013bc6785b07f5f32f68921
17fa3e889426a9c6e3ffc83fe2d5b4b3,17fa3e889426a9c6e3ffc83fe2d5b4b3
1827be01170bd4cfec5f0635a1549853,1827be01170bd4cfec5f0635a1549853
182da524b927b235039ae3721c5a81d6,182da524b927b235039ae3721c5a81d6
18ba7254b97b4b3d61056e651e314d46,18ba7254b97b4b3d61056e651e314d46
1971b85479efae6b9e180a4c9a9f9e3b,1971b85479efae6b9e180a4c9a9f9e3b
1978ea9c84dad0d53deb652cde760550,1978ea9c84dad0d53deb652cde760550
19a260c1db75b91d5d9bdb6441f5a07d,19a260c1db75b91d5d9bdb6441f5a07d
19b06b4b560db11da1a55800c1fd58db,19b06b4b560db11da1a55800c1fd58db
19ccf0811df9676dffde5ccc8605f64d,19ccf0811df9676dffde5ccc8605f64d
19cfc3e73d850301a7516d499d65ec14,19cfc3e73d850301a7516d499d65ec14
1a095c345eed9745590fa7e4382fc0bf,1a095c345eed9745590fa7e4382fc0bf
1ab351448bd7708874ee4c993049f458,1ab351448bd7708874ee4c993049f458
1ae580ace8df307590be6c414d0ab795,1ae580ace8df307590be6c414d0ab795
1c50361eec36a07b6064d84ae1d474f6,1c50361eec36a07b6064d84ae1d474f6
1c7bcc57bdeedeca9fb065421e47aa8a,1c7bcc57bdeedeca9fb065421e47aa8a
1c9916210cdc67b504be0596fe6df9e2,1c9916210cdc67b504be0596fe6df9e2
1cae06a3fada2410ff0c443575989dba,1cae06a3fada2410ff0c443575989dba
1cea334514b5aaa8fb92aeb1b85657bc,1cea334514b5aaa8fb92aeb1b85657bc
1d1d0e0faaacaf9f0c80d8bb8b7b2076,1d1d0e0faaacaf9f0c80d8bb8b7b2076
1d2ddcc98f2c86266e838306d08f1efe,1d2ddcc98f2c86266e838306d08f1efe
1d431a2ac24457c199cd4001a62f0999,1d431a2ac24457c199cd4001a62f0999
